reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
JP-1274,Noyamakita Rokudoyama Prefectural Park,35.7643,139.378,PM95qs,JP-TK,245,213,9988,0,1
JP-1275,Hachikokuyama Ryokuchi Prefectural Park,35.7698,139.459,PM95rs,JP-TK,208,189,6203,0,0
JP-1276,Higashifushimi Prefectural Park,35.7287,139.557,PM95sr,JP-TK,405,344,7283,0,0
JP-1277,Higashimurayama Chuo Prefectural Park,35.7476,139.459,PM95rr,JP-TK,85,75,2060,0,0
JP-1278,Higashiyamato Prefectural Park,35.7554,139.432,PM95rs,JP-TK,69,65,1613,0,0
JP-1279,Higashiyamato Minami Prefectural Park,35.7345,139.422,PM95rr,JP-TK,54,48,925,0,0
JP-1280,Hirayama Joshi Prefectural Park,35.6397,139.383,PM95qp,JP-TK,406,332,18167,0,6
JP-1281,Fuchunomori Prefectural Park,35.6765,139.492,PM95rq,JP-TK,83,64,1355,0,0
JP-1282,Musashi Kokubunji Prefectural Park,35.697,139.472,PM95rq,JP-TK,614,567,9440,0,0
JP-1283,Musashino Prefectural Park,35.6894,139.519,PM95sq,JP-TK,68,61,1126,0,0
JP-1284,Musashino Chuo Prefectural Park,35.7181,139.556,PM95sr,JP-TK,276,236,5062,0,0
JP-1285,Musashinonomori Prefectural Park,35.6765,139.523,PM95sq,JP-TK,98,88,1925,0,1
JP-1286,Ryonan Prefectural Park,35.6488,139.288,PM95pp,JP-TK,81,73,1406,0,0
JP-1287,Rokusen Prefectural Park,35.7503,139.523,PM95ss,JP-TK,621,510,13894,0,1
JP-1288,Ogamiyama Prefectural Park,27.0939,142.192,QL17cc,JP-OG,7,5,434,0,0
JP-1289,Tanzawa Oyama Prefectural Nature Park,35.512,139.26,PM95pm,JP-KN,199,167,5486,0,1
JP-1290,Jinba Sagamiko Prefectural Nature Park,35.6581,139.154,PM95np,JP-KN,147,123,3213,0,1
JP-1291,Oku Yugawara Prefectural Nature Park,35.1523,139.095,PM95nd,JP-KN,43,42,991,0,0
JP-1292,Manazuru Hanto Prefectural Nature Park,35.1461,139.148,PM95nd,JP-KN,59,54,1363,0,0
JP-1293,Odawara Suwanohara Prefectural Park,35.2825,139.134,PM95ng,JP-KN,48,44,1025,0,0
JP-1294,Hayama Sangaokayama Prefectural Park,35.2682,139.578,PM95sg,JP-KN,56,48,1120,0,0
JP-1295,Hayama Prefectural Park,35.2583,139.58,PM95sg,JP-KN,101,95,2591,0,0
JP-1296,Onshi Hakone Prefectural Park,35.1956,139.026,PM95me,JP-KN,37,35,744,0,0
JP-1297,Oiso Joyama Prefectural Park,35.3049,139.29,PM95ph,JP-KN,52,48,1031,0,0
JP-1298,Jogashima Prefectural Park,35.1316,139.625,PM95td,JP-KN,74,63,1929,0,1
JP-1299,Zama Yatoyama Prefectural Park,35.4867,139.404,PM95ql,JP-KN,150,134,3898,0,1
JP-1300,Sagami Sansen Prefectural Park,35.4592,139.381,PM95ql,JP-KN,108,100,2870,0,0
JP-1301,Nanasawa Shinrin Prefectural Park,35.4472,139.301,PM95pk,JP-KN,94,72,1782,0,0
JP-1302,Shonan Shiomidai Prefectural Park,35.3218,139.438,PM95rh,JP-KN,40,39,705,0,0
JP-1303,Tsukayama Prefectural Park,35.28,139.641,PM95tg,JP-KN,107,71,1820,0,0
JP-1304,Hodogaya Prefectural Park,35.4545,139.585,PM95tk,JP-KN,509,441,12678,0,1
JP-1305,Sagamiko Prefectural Park,35.6125,139.191,PM95oo,JP-KN,48,48,903,0,0
JP-1306,Higashitakane Shinrin Prefectural Park,35.6043,139.587,PM95to,JP-KN,153,146,4052,0,0
JP-1307,Shikinomori Prefectural Park,35.5025,139.536,PM95sm,JP-KN,337,318,9105,0,0
JP-1308,Aikawa Prefectural Park,35.5422,139.256,PM95pn,JP-KN,61,60,1672,0,0
JP-1309,Hadano Tokawa Prefectural Park,35.403,139.173,PM95oj,JP-KN,50,45,1114,0,0
JP-1310,Chigasaki Satoyama Prefectural Park,35.3731,139.418,PM95ri,JP-KN,160,149,5300,0,0
JP-1311,Shonan Coast Prefectural Park,35.3136,139.474,PM95rh,JP-KN,62,56,1548,0,0
JP-1312,Kannonzaki Prefectural Park,35.256,139.739,PM95ug,JP-KN,70,58,1513,0,0
JP-1313,Tsukuiko Shiroyama Prefectural Park,35.582,139.282,PM95pn,JP-KN,148,133,3346,0,0
JP-1314,Tsujido Seaside Prefectural Park,35.3209,139.448,PM95rh,JP-KN,82,77,2045,0,0
JP-1315,Sagamihara Prefectural Park,35.5312,139.387,PM95qm,JP-KN,331,315,9103,0,0
JP-1316,Sakaigawa Yusuichi Prefectural Park,35.3907,139.482,PM95rj,JP-KN,154,136,4782,0,2
JP-1317,Mitsuike Prefectural Park,35.5226,139.661,PM95tm,JP-KN,248,236,7511,0,1
JP-1318,Akagi Prefectural Park,36.5418,139.191,PM96on,JP-GM,97,85,2668,0,0
JP-1319,Haruna Prefectural Park,36.4712,138.873,PM96kl,JP-GM,38,35,712,0,0
