SummitCode,SummitName,Latitude,Longitude,AltM
JA/AT-143,Usugadake,38.93310,140.70300,958
JA/AT-144,Yuse,40.09100,140.85510,917
JA/AT-145,Toushiromori,39.73080,140.46201,905
JA/AT-146,Boukui,40.19530,140.85370,895
JA/AT-147,Takashibamori,39.89440,140.57300,870
JA/AT-148,Nokura,39.90620,140.56380,797
JA/AT-149,Sauchidake,39.92770,140.34210,797
JA/AT-150,Makigaimori,39.78480,140.51900,784
JA/AT-151,JA/AT-151,39.88120,140.42720,778
JA/AT-152,Akakuramori,39.85140,140.50400,772
JA/AT-153,Nangoudake,39.23340,140.67349,681
JA/AT-154,Himegatake,40.00020,140.37210,651
JA/AT-155,Hahoyasan,40.34040,140.67520,593
JA/AT-156,Near Nakayama,39.68240,140.67390,586
JA/AT-157,Ishikurayama,40.08140,140.50281,571
JA/AT-158,Ichinosawa,39.74230,140.36040,532
JA/AT-159,Ooanatouge,39.27210,140.67900,483
JA/AT-160,Near Oohirayama,39.20370,140.34880,481
JA/AT-161,JA/AT-161,39.89540,140.22569,436
JA/AT-162,Higureyama,40.27960,140.71890,424
JA/AT-163,Tenjikumori,39.27430,140.64050,367
JA/AT-164,Iwayayama,39.74260,140.32671,366
JA/AT-165,JA/AT-165,39.48400,140.14230,365
JA/AT-166,Kokuzoyama,39.32880,140.15891,358
JA/AT-167,Chojyamori,39.61720,140.38940,323
JA/AT-168,Yonegamori,39.62530,140.36549,314
JA/AT-169,Naganoyama,39.55100,140.51540,292
JA/AT-170,Jingujidake,39.48040,140.43640,277
JA/AT-171,Oohirayama,39.57200,140.37810,273
JA/AT-172,JA/AT-172,39.54100,140.48460,248
JA/CB-001,Atagoyama,35.11490,139.98680,408
JA/CB-002,Kanouzan (Shiratorimine),35.25560,139.97189,379
JA/CB-003,Kiyosumiyama (Myokensan),35.16230,140.15230,377
JA/CB-004,Gotenyama,35.08870,139.94769,364
JA/CB-005,Tomisan,35.09880,139.88150,350
JA/CB-006,Nokogiriyama,35.16040,139.84090,330
JA/CB-007,Ueno,35.26290,140.02460,313
JA/CB-008,Awatakayama,35.15750,140.02020,365
JA/CB-009,Iyogatake,35.10730,139.91400,336
JA/CB-010,Goshozukayama,35.31390,140.11360,271
JA/CB-011,Tsubenoyama,35.11230,139.86470,259
JA/CB-012,Takatsukayama,34.93750,139.94040,216
JA/CB-013,Mineokasengen,35.10940,140.01840,340
JA/FI-001,Akausagiyama,36.06760,136.66190,1629
JA/FI-002,Kyougadake,36.04640,136.62190,1625
JA/FI-003,Itoshiro,35.99280,136.72220,1609
JA/FI-004,Hachibuseyama,36.09830,136.63741,1549
JA/FI-005,Arashimadake,35.93430,136.60130,1523
JA/FI-006,Hekosan,35.88610,136.43919,1464
JA/FI-007,Ubagatake,35.80950,136.50591,1454
JA/FI-008,Heikegadake,35.80990,136.71890,1442
JA/FI-009,Genanpo,35.88660,136.46490,1441
JA/FI-010,Asahimaezaka,35.95690,136.66850,1328
JA/FI-011,Yarigahara,35.90320,136.58681,1317
JA/FI-012,Oise,35.84720,136.62531,1286
JA/FI-013,Sugitani,35.77680,136.48511,1282
JA/FI-014,JA/FI-014,35.89080,136.81110,1270
JA/FI-015,Omouyakami,35.83940,136.74631,1246
JA/FI-016,Horagadaira,35.84980,136.43649,1218
JA/FI-017,Dougatsujiyama,35.86640,136.56570,1205
JA/FI-018,Shimohige,35.81680,136.60201,1201
JA/FI-019,Higashiichinuno,35.85360,136.79950,1193
JA/FI-020,Himoyamata,35.86560,136.65269,1190
JA/FI-021,Dousaisan,35.87840,136.53661,1188
JA/FI-022,JA/FI-022,35.82140,136.63010,1180
JA/FI-023,Ootani1,35.89700,136.72980,1161
JA/FI-024,JA/FI-024,36.13110,136.41560,1091
JA/FI-025,Washikuradake,35.89050,136.66701,1010
JA/FI-026,Oomikageyama,35.50050,135.97211,950
JA/FI-027,Amagaya,35.84060,136.53481,929
JA/FI-028,Nosakadake,35.58970,136.02451,913
JA/FI-029,Ogurataniyama,36.16600,136.36571,911
JA/FI-030,Iifuriyama,35.96690,136.45720,884
JA/FI-031,Ashitaniyama,35.56380,136.02530,866
JA/FI-032,Sennooyama,36.04700,136.39461,826
JA/FI-033,Hachigamine,35.35720,135.66800,800
JA/FI-034,Hinosan,35.85920,136.20740,794
JA/FI-035,JA/FI-035,35.55220,135.94510,789
JA/FI-036,JA/FI-036,35.82380,136.27290,775
JA/FI-037,Kyogatake,36.05020,136.43570,765
JA/FI-038,Saifougatake,35.70990,136.01019,764
JA/FI-039,JA/FI-039,35.76140,136.25160,762
JA/FI-040,Hachibuseyama,35.72130,136.13400,762
JA/FI-041,Takatsumuriyama,35.79460,136.14890,746
JA/FI-042,Ichijyosan,35.97390,136.33299,741
JA/FI-043,Karakidake,35.85720,136.27260,738
JA/FI-044,JA/FI-044,35.82390,136.32539,735
JA/FI-045,Dannodake,35.83050,136.30190,728
JA/FI-046,Tadagatake,35.45110,135.76260,712
JA/FI-047,Yamada,35.90530,136.32060,701
JA/FI-048,Minamihatadake,36.01650,136.45790,700
JA/FI-049,Rokusyosan,35.98780,136.00880,698
JA/FI-050,Aobasan,35.50520,135.48380,693
JA/FI-051,Kurakakeyama,35.99950,136.00470,690
JA/FI-052,Shirataki,35.40770,135.56970,671
JA/FI-053,Okuasoumura,35.58820,136.16010,662
JA/FI-054,Kunimidake,36.07930,136.08400,656
JA/FI-055,Toishimura,35.86620,136.34689,652
JA/FI-056,Kusamadake,35.97420,136.39970,652
JA/FI-057,Nyogobou,35.63970,136.13370,647
JA/FI-058,Konpirasan,36.05700,136.05791,624
JA/FI-059,Nanatsudake,35.87380,136.30499,620
JA/FI-060,Kusuyagadake,35.55740,135.73370,619
JA/FI-061,Hanseizan,35.45190,135.66010,584
JA/FI-062,Wakasudake,35.90270,136.02560,564
JA/FI-063,Otakesan,35.59850,135.97470,548
JA/FI-064,Yoshinogatake,36.05090,136.31641,547
JA/FI-065,Onigatake,35.90010,136.10091,533
JA/FI-066,Miuchiyama,35.66740,136.01340,521
JA/FI-067,JA/FI-067,35.41720,135.61031,520
JA/FI-068,Amasakamura,35.52240,135.83200,512
JA/FI-069,Somayama,35.80220,136.21960,492
JA/FI-070,Ooyama,35.54390,135.46040,489
JA/FI-071,Wadayama,35.50650,135.61090,478
JA/FI-072,Hotokedani,35.99420,136.39880,464
JA/FI-073,Kagamiyama,35.53510,135.86430,451
JA/FI-074,Terayama,35.66710,135.98750,418
JA/FI-075,Amagozeyama,35.80800,136.08720,400
JA/FI-076,Baijyodake,35.60120,135.86861,400
JA/FI-077,Tai,35.68380,136.10381,360
JA/FI-078,Konpirayama,36.01490,136.07840,347
JA/FI-079,Sanriyama,35.93840,136.22560,346
JA/FI-080,JA/FI-080,35.54460,135.51160,340
JA/FI-081,Tennouzan,35.62080,135.95250,331
JA/FI-082,JA/FI-082,35.72350,135.96609,308
JA/FI-083,Ootani,35.99860,136.28360,297
JA/FI-084,Ossakayama,35.99670,136.13530,290
JA/FI-085,Mitokoyama,35.94880,136.12939,280
JA/FI-086,Near Karasugatake,35.97880,136.09599,270
JA/FI-087,Takenoya,35.83740,136.42340,1182
JA/FI-088,Suhara,35.85110,136.48920,1143
JA/FI-089,Near Oobayashi,35.98290,136.61870,1000
JA/FI-090,JA/FI-090,35.92280,136.44630,810
JA/FI-091,Mizunashiyama,36.10110,136.45110,784
JA/FI-092,Ooyama,35.84960,136.23470,717
JA/FI-093,Hirao,35.91610,136.39709,705
JA/FI-094,Yarasudake,35.84240,136.08490,480
JA/FI-095,Near Amagi,35.87860,136.02209,470
JA/FI-096,JA/FI-096,35.89960,136.26640,386
JA/FI-097,Monjyusan,35.99050,136.22400,366
JA/FI-098,Shiroya,35.49970,135.88499,340
JA/FI-099,Ooshima,35.53480,135.64700,247
JA/FI-100,Murakuniyama,35.89920,136.18111,239
JA/FI-101,Tsunekamiura,35.63710,135.81670,238
JA/FI-102,Myohoujiyama,35.88060,136.15421,235
JA/FI-103,Shiroyama,36.01510,136.18600,202
JA/FI-104,JA/FI-104,35.52550,135.50999,195
